#==========>  Spectrum: Auger (ICRC 2017) <============ 
#lgE      E*J    Err_up  Err_low   N
17.55 2.01e-11 1.08e-13 1.08e-13 36262 
17.65 1.19e-11 8.32e-14 8.32e-14 21445 
17.75 6.96e-12 6.36e-14 6.36e-14 12412 
17.85 4.12e-12 4.90e-14 4.90e-14 7288 
17.95 2.41e-12 3.76e-14 3.76e-14 4226 
18.05 1.35e-12 2.38e-14 2.38e-14 4843 
18.15 7.99e-13 1.63e-14 1.63e-14 3529 
18.25 5.03e-13 1.15e-14 1.15e-14 2647 
18.35 2.75e-13 7.20e-15 7.20e-15 1788 
18.45 1.75e-13 6.52e-16 6.52e-16 72282 
18.55 1.01e-13 4.92e-16 4.92e-16 41976 
18.65 6.05e-14 3.40e-16 3.40e-16 31876 
18.75 3.82e-14 2.71e-16 2.71e-16 19880 
18.85 2.67e-14 2.29e-16 2.29e-16 13651 
18.95 1.88e-14 1.93e-16 1.93e-16 9491 
19.05 1.31e-14 1.62e-16 1.62e-16 6639 
19.15 8.91e-15 1.33e-16 1.33e-16 4521 
19.25 5.58e-15 1.05e-16 1.05e-16 2848 
19.35 3.67e-15 8.48e-17 8.48e-17 1884 
19.45 2.19e-15 6.56e-17 6.56e-17 1124 
19.55 1.42e-15 5.30e-17 5.30e-17 721
19.65 7.60e-16 3.96e-17 3.96e-17 388
19.75 3.30e-16 2.50e-17 2.50e-17 174
19.85 1.49e-16 1.71e-17 1.71e-17 80 
19.95 4.45e-17 1.06e-17 1.06e-17 24 
20.05 2.33e-17 7.01e-18 7.01e-18 11 
20.15 9.66e-18 6.77e-18 4.04e-18 4 
