# /storage/gpfs_data/auger/fabiocon/2022oct/cal_m21_015487_2022-10-23.01-53.root
# analyzed at 2024-12-02 14:07 on ui7-auger.cr.cnaf.infn.it
# spherCalib: 2.34323e+09
# pixel calibConst adcSum stdCalib calibConstCorr
# nEvents 1686
1 5.39692 9.74201e+07 1000 5.502445797221151
2 5.77413 9.05842e+07 1000 5.927902630184101
3 5.76167 9.09163e+07 1000 5.927172629916901
4 5.83245 8.97699e+07 1000 5.994974532990209
5 5.3817 9.74349e+07 1000 5.530881616509709
6 5.22561 1.0019e+08 1000 5.378308930890159
7 5.62565 9.32311e+07 1000 5.822461931217775
8 5.30972 9.85243e+07 1000 5.483863047220265
9 5.53017 9.49994e+07 1000 5.74214268242252
10 4.71945 1.10862e+08 1000 4.875819239361036
11 5.63166 9.32433e+07 1000 5.8144194673495555
12 4.99723 1.04782e+08 4.31518 5.169510616214579
13 6.2014 8.4426e+07 5.28373 6.406488902304367
14 6.04358 8.64264e+07 5.14535 6.260557106635812
15 5.19688 1.01035e+08 4.32527 5.390475812753334
16 5.33787 9.79797e+07 4.56843 5.514690955296098
17 5.32567 9.86054e+07 4.57557 5.518506551051731
18 4.97152 1.05126e+08 4.20359 5.137141052968403
19 6.75186 7.76351e+07 5.49006 6.994640987242784
20 5.52095 9.48225e+07 4.6754 5.728920941297903
21 5.8031 9.04932e+07 4.69772 6.027597704720288
22 5.23274 1.00035e+08 4.28624 5.42789635722673
23 5.39399 9.78173e+07 1000 5.476653107027002
24 5.66226 9.31523e+07 1000 5.764455426531534
25 5.70563 9.24253e+07 1000 5.84223670721149
26 5.44066 9.6826e+07 1000 5.572152229431073
27 6.0233 8.76835e+07 1000 6.1917597739707695
28 5.73386 9.17674e+07 1000 5.92770136620719
29 6.25977 8.4402e+07 1000 6.451397970285917
30 5.90738 8.90833e+07 1000 6.087719858175956
31 5.16853 1.02081e+08 1000 5.349737730994062
32 4.6903 1.12074e+08 1000 4.837151167513557
33 5.11116 1.03364e+08 1000 5.281863072083457
34 5.19857 1.01254e+08 4.34105 5.398077172773665
35 5.63051 9.37671e+07 4.69279 5.804671795566098
36 4.6815 1.12599e+08 4.09726 4.854413695983142
37 5.54954 9.51657e+07 4.67072 5.754081074706855
38 5.57641 9.4425e+07 4.67952 5.799151592066044
39 6.48629 8.13058e+07 5.28542 6.736999113952884
40 5.39322 9.75792e+07 4.49245 5.600011063741101
41 5.60845 9.41249e+07 4.56724 5.819112908969945
42 5.36856 9.82295e+07 4.44765 5.581655795839537
43 5.65128 9.33445e+07 4.64067 5.8815697234895925
44 6.20484 8.49033e+07 5.07683 6.455722989255604
45 5.73485 9.25251e+07 1000 5.841081467429151
46 5.33069 9.94981e+07 1000 5.47280600558909
47 6.12509 8.67333e+07 1000 6.273296156106584
48 5.80238 9.12237e+07 1000 5.962061549303018
49 5.66496 9.37521e+07 1000 5.876143475927451
50 5.55316 9.52963e+07 1000 5.722510976897283
51 5.89627 9.0028e+07 1000 6.108526764203494
52 5.75592 9.19013e+07 1000 5.985984676567394
53 4.82624 1.09963e+08 1000 4.992182308562965
54 5.9301 8.93625e+07 1000 6.14230141062849
55 6.00479 8.8421e+07 1000 6.237221589845691
56 5.78095 9.16139e+07 4.79164 6.030461626879886
57 4.58985 1.15583e+08 4.03779 4.755319438095457
58 5.3936 9.81951e+07 4.48689 5.606461074380277
59 5.55514 9.54823e+07 4.62307 5.784714983486664
60 5.80134 9.14178e+07 4.84235 6.039626527162313
61 6.19649 8.57678e+07 5.135 6.449494987037987
62 5.56048 9.53047e+07 4.72283 5.783321179114789
63 5.9642 8.9102e+07 4.96724 6.1941753913670174
64 5.66677 9.34392e+07 4.65498 5.877206267904827
65 6.07623 8.74245e+07 4.98907 6.291341613991832
66 6.0457 8.76555e+07 4.90606 6.302425490261567
67 5.69947 9.35733e+07 1000 5.833605797977552
68 5.4389 9.77826e+07 1000 5.5677329975087755
69 5.37115 9.92317e+07 1000 5.522980178632694
70 5.83786 9.11009e+07 1000 6.010979889255173
71 6.30859 8.43839e+07 1000 6.4920950984370345
72 5.42869 9.79133e+07 1000 5.628622335549383
73 5.2631 1.01143e+08 1000 5.453524209183792
74 6.10085 8.72353e+07 1000 6.296277671869975
75 5.79005 9.21518e+07 1000 6.039189468881752
76 5.25612 1.01283e+08 1000 5.446053249357517
77 4.91014 1.08555e+08 1000 5.114974701172495
78 5.49054 9.70807e+07 4.62809 5.6854511692830085
79 5.82428 9.15344e+07 4.87845 6.049317329992674
80 5.61384 9.48105e+07 4.70788 5.839791927471415
81 5.77447 9.22715e+07 4.70088 6.018945156178181
82 5.99392 8.87678e+07 5.00379 6.241944817819767
83 5.7396 9.27523e+07 4.66268 5.973283785287034
84 6.07703 8.75005e+07 4.92473 6.295277099173087
85 5.08026 1.04957e+08 4.12469 5.296372548235165
86 4.95089 1.07623e+08 4.12599 5.156533955480014
87 6.08765 8.757e+07 5.02794 6.3502067044736865
88 5.67071 9.37635e+07 4.73209 5.91222727162189
89 5.99286 8.92347e+07 4.62942 6.14663408403951
90 5.36486 9.956e+07 4.30596 5.526070771283838
91 6.29193 8.5052e+07 5.00423 6.463732485047195
92 5.69761 9.38467e+07 4.50167 5.856821137150759
93 5.67963 9.4358e+07 4.53521 5.8697427879112825
94 5.41892 9.85998e+07 4.40553 5.590586476511483
95 5.88356 9.1001e+07 4.77375 6.081595908353707
96 5.84168 9.14811e+07 4.74125 6.058999821577033
97 5.93144 9.02411e+07 4.85944 6.175031271390446
98 5.65019 9.442e+07 4.5923 5.882508568521866
99 5.57364 9.58663e+07 4.55723 5.818021199253816
100 6.07992 8.78285e+07 4.54361 6.333734283636612
