# /media/filip/Drive/XY/2022oct/cal_m21_015487_2022-10-23.01-53.root
# analyzed at 2024-11-24 15:48 on debian
# spherCalib: 2.34323e+09
# pixel calibConst adcSum stdCalib calibConstCorr
# nEvents 1686
1 5.49573 9.56686e+07 1 5.603187825864048
2 5.89147 8.878e+07 1 6.048367547777885
3 5.87068 8.92281e+07 1 6.039313916798526
4 5.95727 8.7889e+07 1 6.123272713207415
5 5.48438 9.56108e+07 1 5.636407923138323
6 5.32801 9.82646e+07 1 5.483701188353527
7 5.7415 9.13499e+07 1 5.942364913936497
8 5.39337 9.69961e+07 1 5.570256518796916
9 5.64192 9.31178e+07 1 5.8581760855115235
10 4.80123 1.08974e+08 1 4.960308850946061
11 5.7475 9.13639e+07 1 5.93401872424677
12 5.09042 1.02864e+08 1 5.2659133622008625
13 6.34428 8.25246e+07 1 6.554094142147185
14 6.19192 8.43559e+07 1 6.414222821526382
15 5.29959 9.90767e+07 1 5.497011998066039
16 5.45038 9.5957e+07 1 5.630927933600248
17 5.4406 9.65224e+07 1 5.637598037740236
18 5.07022 1.0308e+08 1 5.239129141506311
19 6.91451 7.58088e+07 1 7.1631394982567915
20 5.64407 9.27539e+07 1 5.856678799328242
21 5.93355 8.85036e+07 1 6.163094270449083
22 5.34261 9.79777e+07 1 5.54186398656977
23 5.49208 9.60703e+07 1 5.576246340100901
24 5.78053 9.12464e+07 1 5.884860025277598
25 5.81546 9.06796e+07 1 5.954696305459718
26 5.5478 9.49561e+07 1 5.681881635396754
27 6.13447 8.60946e+07 1 6.3060389787376465
28 5.83298 9.02081e+07 1 6.0301722600585315
29 6.39946 8.25596e+07 1 6.595364247396618
30 6.01734 8.74555e+07 1 6.201036705171582
31 5.25522 1.00397e+08 1 5.43946706678197
32 4.76598 1.10295e+08 1 4.915200674017923
33 5.20277 1.01544e+08 1 5.376532672728627
34 5.29987 9.93187e+07 1 5.503264795062482
35 5.75136 9.17968e+07 1 5.929259903303082
36 4.77738 1.10339e+08 1 4.953835074851211
37 5.65988 9.33104e+07 1 5.868487909468503
38 5.69211 9.25057e+07 1 5.9194730603945995
39 6.63887 7.94373e+07 1 6.89547666040963
40 5.50014 9.56823e+07 1 5.711030674091726
41 5.72901 9.21441e+07 1 5.94420134736298
42 5.48961 9.60634e+07 1 5.707510668298142
43 5.75958 9.15893e+07 1 5.994282949706294
44 6.36023 8.28289e+07 1 6.617395940580767
45 5.80594 9.13922e+07 1 5.9134883275073635
46 5.42025 9.78541e+07 1 5.564753672000111
47 6.25578 8.49213e+07 1 6.407148405566032
48 5.91685 8.94589e+07 1 6.07968176472302
49 5.78008 9.18849e+07 1 5.9955550228666645
50 5.6527 9.36183e+07 1 5.82508658117311
51 6.01866 8.81973e+07 1 6.235322618306318
52 5.86151 9.02458e+07 1 6.095795119033369
53 4.91528 1.07972e+08 1 5.084283802221474
54 6.05819 8.74732e+07 1 6.27497495537266
55 6.13768 8.65066e+07 1 6.375255455655251
56 5.90649 8.96666e+07 1 6.1614200597738735
57 4.6803 1.13349e+08 1 4.849030265938574
58 5.50506 9.62069e+07 1 5.722319898051003
59 5.66753 9.35889e+07 1 5.901749678740801
60 5.91982 8.95881e+07 1 6.162973021409882
61 6.32621 8.40091e+07 1 6.584511502794257
62 5.67003 9.34632e+07 1 5.897261492751746
63 6.09096 8.72477e+07 1 6.325823168539091
64 5.79361 9.13936e+07 1 6.008756488404521
65 6.21958 8.54095e+07 1 6.439766512385363
66 6.17666 8.5797e+07 1 6.438946594882149
67 5.78652 9.21656e+07 1 5.922704500964662
68 5.53581 9.60707e+07 1 5.666938536273705
69 5.48122 9.7239e+07 1 5.636161606867263
70 5.96445 8.91673e+07 1 6.141323875609902
71 6.42585 8.2844e+07 1 6.6127659727913235
72 5.50958 9.64757e+07 1 5.712491420120908
73 5.37349 9.90649e+07 1 5.567908229523858
74 6.22719 8.54654e+07 1 6.426664703359694
75 5.90233 9.03989e+07 1 6.156300753510735
76 5.35744 9.9367e+07 1 5.5510345121949145
77 4.9994 1.06616e+08 1 5.2079583313391815
78 5.58168 9.54956e+07 1 5.7798265894727265
79 5.95033 8.95956e+07 1 6.180237623908073
80 5.72634 9.29479e+07 1 5.95681994961678
81 5.88566 9.05284e+07 1 6.134842634546837
82 6.11048 8.70747e+07 1 6.36332800077267
83 5.84663 9.10543e+07 1 6.084671436611041
84 6.19487 8.58361e+07 1 6.417349139851931
85 5.17853 1.02965e+08 1 5.398822920915908
86 5.04585 1.05597e+08 1 5.255438286703769
87 6.19995 8.59838e+07 1 6.467350136325452
88 5.79329 9.17795e+07 1 6.040027991276998
89 6.10559 8.75872e+07 1 6.262256684983596
90 5.45577 9.79011e+07 1 5.619712561343117
91 6.4372 8.31325e+07 1 6.612969113252341
92 5.80462 9.21166e+07 1 5.96682137056205
93 5.79592 9.24648e+07 1 5.989925333042954
94 5.5264 9.66823e+07 1 5.701471345543588
95 6.0078 8.91192e+07 1 6.210017727057665
96 5.9525 8.97779e+07 1 6.173942502488545
97 6.05257 8.84351e+07 1 6.3011358156332475
98 5.75351 9.27245e+07 1 5.990076771591086
99 5.69311 9.38545e+07 1 5.942729467580234
100 6.20418 8.60694e+07 1 6.463181681313667
101 6.89461 7.75354e+07 1 7.189212157195051
102 5.36449 9.94641e+07 1 5.605447207991374
103 6.11476 8.74211e+07 1 6.379928264088433
104 6.08713 8.77522e+07 1 6.33975334945193
105 6.3501 8.41945e+07 1 6.629568353247101
106 5.09092 1.04948e+08 1 5.3023320914318
107 5.8672 9.13206e+07 1 6.1125925671102825
108 5.83357 9.16498e+07 1 6.0959685091085865
109 5.29789 1.01187e+08 1 5.526414329827253
110 5.49946 9.70563e+07 1 5.736526354635529
111 5.94365 9.03228e+07 1 6.085910777466619
112 5.55099 9.64354e+07 1 5.683139911650353
113 5.83496 9.20524e+07 1 6.016253682510477
114 6.2224 8.60661e+07 1 6.431081204964134
115 6.06229 8.86033e+07 1 6.268248761830965
116 5.7242 9.37515e+07 1 5.920769779440284
117 6.46679 8.296e+07 1 6.692212260505658
118 5.84244 9.16374e+07 1 6.046146786194632
119 5.523 9.73513e+07 1 5.7383425861458965
120 5.63543 9.5171e+07 1 5.853247712564635
121 5.95175 9.04234e+07 1 6.205421162369278
122 5.54179 9.65858e+07 1 5.761963760122745
123 6.68744 8.0303e+07 1 6.977315105834743
124 5.14617 1.03988e+08 1 5.354077124245964
125 5.64597 9.5033e+07 1 5.893983678622278
126 6.09988 8.8141e+07 1 6.365066149036552
127 5.67143 9.46573e+07 1 5.95107123499341
128 5.53404 9.66793e+07 1 5.7966740184456444
129 5.50197 9.75584e+07 1 5.7447007523413
130 5.4967 9.7523e+07 1 5.7369999340191145
131 5.58268 9.61124e+07 1 5.840063750247049
132 6.07993 8.82497e+07 1 6.3619134329802485
133 5.75815 9.34043e+07 1 5.877933820419
134 5.76337 9.33534e+07 1 5.922468160150132
135 6.32692 8.5167e+07 1 6.536335972927392
136 6.39326 8.39338e+07 1 6.606025209264416
137 6.1628 8.7413e+07 1 6.368841553212712
138 5.86194 9.15497e+07 1 6.059628341456761
139 5.50212 9.80304e+07 1 5.692790194495353
140 5.98434 8.97697e+07 1 6.198297600586742
141 5.52124 9.71866e+07 1 5.743898417046958
142 6.30148 8.52158e+07 1 6.580209758566889
143 5.79794 9.29031e+07 1 6.048391605831429
144 5.77654 9.30452e+07 1 6.0311361360189
145 5.47289 9.82182e+07 1 5.7091078923548215
146 6.5629 8.18208e+07 1 6.843606263005896
147 4.98999 1.07899e+08 1 5.217086676009537
148 5.26332 1.02087e+08 1 5.51231478319752
149 5.82813 9.23927e+07 1 6.089527726512005
150 5.96832 8.99572e+07 1 6.242385048879649
151 6.55291 8.22053e+07 1 6.861717609922022
152 6.21071 8.65041e+07 1 6.506555667884942
153 6.60241 8.14729e+07 1 6.918924686849867
154 6.01603 8.94785e+07 1 6.2701299888989634
155 6.17742 8.74074e+07 1 6.323851782126467
156 5.70683 9.43279e+07 1 5.853780741250863
157 5.97451 9.01212e+07 1 6.155873599435306
158 6.07462 8.86471e+07 1 6.280497093773064
159 6.02826 8.94123e+07 1 6.24198116273864
160 6.04469 8.90752e+07 1 6.245435767080437
161 5.90864 9.13231e+07 1 6.138938664951763
162 6.15279 8.75769e+07 1 6.388867463577321
163 4.87489 1.10489e+08 1 5.066207878694796
164 5.79958 9.2696e+07 1 6.04120331821564
165 6.0407 8.92798e+07 1 6.288568241760274
166 5.41151 9.94445e+07 1 5.6307314850095525
167 5.23956 1.02886e+08 1 5.484157873490028
168 5.57384 9.67432e+07 1 5.819870040939177
169 5.66764 9.51361e+07 1 5.945901649510087
170 6.74658 7.98504e+07 1 7.06219590444712
171 6.4964 8.29492e+07 1 6.80237984186878
172 5.70888 9.4443e+07 1 5.989980793609248
