# /storage/gpfs_data/auger/fabiocon/2022oct/cal_m21_015487_2022-10-23.01-53.root
#eventId pulseBegin pulseEnd pulseLength type
1 276 328 52 -1
2 273 325 52 -1
3 272 324 52 -1
4 279 331 52 -1
5 272 324 52 -1
6 274 326 52 -1
7 281 333 52 -1
8 272 324 52 -1
9 274 326 52 -1
10 274 326 52 -1
11 250 350 100 0
12 250 350 100 0
13 250 350 100 0
14 250 350 100 0
15 272 323 51 -1
16 274 326 52 -1
17 278 330 52 -1
18 276 328 52 -1
19 278 330 52 -1
20 273 325 52 -1
21 280 331 51 -1
22 280 332 52 -1
23 276 328 52 -1
24 274 325 51 -1
25 250 350 100 0
26 250 350 100 0
27 250 350 100 0
28 250 350 100 0
29 250 350 100 0
30 250 350 100 0
31 250 350 100 0
32 278 329 51 -1
33 278 330 52 -1
34 274 326 52 -1
35 276 328 52 -1
36 274 326 52 -1
37 272 323 51 -1
38 274 326 52 -1
39 278 330 52 -1
40 277 329 52 -1
41 281 333 52 -1
42 274 326 52 -1
43 274 326 52 -1
44 275 327 52 -1
45 274 326 52 -1
46 277 329 52 -1
47 250 350 100 0
48 250 350 100 0
49 250 350 100 0
50 250 350 100 0
51 250 350 100 0
52 278 329 51 -1
53 273 325 52 -1
54 277 329 52 -1
55 278 330 52 -1
56 276 328 52 -1
57 276 328 52 -1
58 272 324 52 -1
59 279 331 52 -1
60 276 328 52 -1
61 278 330 52 -1
62 277 329 52 -1
63 274 326 52 -1
64 279 331 52 -1
65 271 323 52 -1
66 271 323 52 -1
67 279 331 52 -1
68 271 323 52 -1
69 279 331 52 -1
70 280 332 52 -1
71 275 327 52 -1
72 250 350 100 0
73 250 350 100 0
74 250 350 100 0
75 250 350 100 0
76 276 328 52 -1
77 279 330 51 -1
78 280 332 52 -1
79 276 328 52 -1
80 279 331 52 -1
81 279 331 52 -1
82 273 325 52 -1
83 273 325 52 -1
84 277 329 52 -1
85 273 325 52 -1
86 277 328 51 -1
87 276 327 51 -1
88 274 326 52 -1
89 275 327 52 -1
90 279 331 52 -1
91 275 327 52 -1
92 275 327 52 -1
93 277 329 52 -1
94 281 333 52 -1
95 278 330 52 -1
96 277 329 52 -1
97 275 327 52 -1
98 281 333 52 -1
99 250 350 100 0
100 250 350 100 0
101 250 350 100 0
102 250 350 100 0
103 272 324 52 -1
104 273 325 52 -1
105 280 332 52 -1
106 277 329 52 -1
107 275 327 52 -1
108 275 327 52 -1
109 272 324 52 -1
110 273 325 52 -1
111 272 324 52 -1
112 273 325 52 -1
113 275 327 52 -1
114 272 324 52 -1
115 273 325 52 -1
116 276 328 52 -1
117 280 332 52 -1
118 272 324 52 -1
119 278 330 52 -1
120 279 331 52 -1
121 278 330 52 -1
122 277 329 52 -1
123 274 326 52 -1
124 272 324 52 -1
125 274 326 52 -1
126 279 330 51 -1
127 250 350 100 0
128 250 350 100 0
129 250 350 100 0
130 250 350 100 0
131 278 330 52 -1
132 275 327 52 -1
133 273 325 52 -1
134 275 327 52 -1
135 271 323 52 -1
136 272 324 52 -1
137 272 324 52 -1
138 280 332 52 -1
139 275 327 52 -1
140 272 324 52 -1
141 280 332 52 -1
142 281 333 52 -1
143 280 332 52 -1
144 279 331 52 -1
145 276 328 52 -1
146 278 329 51 -1
147 280 332 52 -1
148 280 332 52 -1
149 276 328 52 -1
150 278 330 52 -1
151 280 332 52 -1
152 280 332 52 -1
153 281 333 52 -1
154 278 330 52 -1
155 274 326 52 -1
156 275 327 52 -1
157 279 331 52 -1
158 250 350 100 0
159 250 350 100 0
160 250 350 100 0
161 250 350 100 0
162 274 326 52 -1
163 280 332 52 -1
164 277 329 52 -1
165 280 332 52 -1
166 278 330 52 -1
167 273 325 52 -1
168 272 324 52 -1
169 275 327 52 -1
170 281 333 52 -1
171 275 327 52 -1
172 278 330 52 -1
173 279 331 52 -1
174 276 328 52 -1
175 278 330 52 -1
176 279 331 52 -1
177 278 330 52 -1
178 281 333 52 -1
179 280 332 52 -1
180 275 327 52 -1
181 272 324 52 -1
182 279 331 52 -1
183 278 330 52 -1
184 272 324 52 -1
185 281 333 52 -1
186 274 326 52 -1
187 276 328 52 -1
188 280 331 51 -1
189 272 324 52 -1
190 250 350 100 0
191 250 350 100 0
192 250 350 100 0
193 274 326 52 -1
194 277 329 52 -1
195 273 325 52 -1
196 271 323 52 -1
197 278 330 52 -1
198 275 327 52 -1
199 281 333 52 -1
200 280 332 52 -1
201 280 332 52 -1
202 278 330 52 -1
203 280 332 52 -1
204 276 328 52 -1
205 280 332 52 -1
206 275 327 52 -1
207 280 332 52 -1
208 276 328 52 -1
209 280 332 52 -1
210 272 324 52 -1
211 276 328 52 -1
212 281 333 52 -1
213 272 324 52 -1
214 278 330 52 -1
215 272 324 52 -1
216 280 332 52 -1
217 274 326 52 -1
218 281 333 52 -1
219 275 327 52 -1
220 279 331 52 -1
221 276 328 52 -1
222 279 331 52 -1
223 279 331 52 -1
224 250 350 100 0
225 250 350 100 0
226 277 329 52 -1
227 273 325 52 -1
228 272 324 52 -1
229 278 330 52 -1
230 279 331 52 -1
231 278 330 52 -1
232 277 329 52 -1
233 276 328 52 -1
234 277 329 52 -1
235 272 324 52 -1
236 277 328 51 -1
237 278 330 52 -1
238 277 329 52 -1
239 280 332 52 -1
240 281 333 52 -1
241 278 330 52 -1
242 280 332 52 -1
243 271 323 52 -1
244 273 325 52 -1
245 280 332 52 -1
246 278 330 52 -1
247 272 324 52 -1
248 275 327 52 -1
249 273 325 52 -1
250 277 329 52 -1
251 273 325 52 -1
252 277 329 52 -1
253 274 326 52 -1
254 275 327 52 -1
255 272 324 52 -1
256 274 326 52 -1
257 281 333 52 -1
258 250 350 100 0
259 250 350 100 0
260 281 332 51 -1
261 276 328 52 -1
262 273 325 52 -1
263 277 329 52 -1
264 280 332 52 -1
265 281 333 52 -1
266 272 324 52 -1
267 280 332 52 -1
268 279 331 52 -1
269 281 333 52 -1
270 280 332 52 -1
271 280 332 52 -1
272 272 324 52 -1
273 272 324 52 -1
274 277 329 52 -1
275 280 332 52 -1
276 273 325 52 -1
277 274 326 52 -1
278 281 333 52 -1
279 274 326 52 -1
280 280 332 52 -1
281 273 325 52 -1
282 274 326 52 -1
283 277 329 52 -1
284 276 328 52 -1
285 278 330 52 -1
286 276 328 52 -1
287 276 328 52 -1
288 280 332 52 -1
289 280 332 52 -1
290 276 328 52 -1
291 272 324 52 -1
292 273 325 52 -1
293 250 350 100 0
294 250 350 100 0
295 250 350 100 0
296 274 326 52 -1
297 278 329 51 -1
298 277 329 52 -1
299 276 328 52 -1
300 276 328 52 -1
301 275 327 52 -1
302 273 325 52 -1
303 272 324 52 -1
304 281 333 52 -1
305 276 327 51 -1
306 271 323 52 -1
307 276 328 52 -1
308 277 329 52 -1
309 274 326 52 -1
310 277 329 52 -1
311 277 329 52 -1
312 276 328 52 -1
313 278 330 52 -1
314 280 332 52 -1
315 276 328 52 -1
316 275 327 52 -1
317 274 326 52 -1
318 277 329 52 -1
319 272 324 52 -1
320 279 331 52 -1
321 275 327 52 -1
322 271 323 52 -1
323 278 330 52 -1
324 278 330 52 -1
325 273 325 52 -1
326 273 325 52 -1
327 278 330 52 -1
328 281 333 52 -1
329 279 331 52 -1
330 250 350 100 0
331 250 350 100 0
332 250 350 100 0
333 250 350 100 0
334 280 332 52 -1
335 281 333 52 -1
336 275 327 52 -1
337 273 325 52 -1
338 275 327 52 -1
339 275 327 52 -1
340 273 325 52 -1
341 275 327 52 -1
342 278 330 52 -1
343 276 328 52 -1
344 278 330 52 -1
345 278 330 52 -1
346 274 326 52 -1
347 275 327 52 -1
348 276 328 52 -1
349 279 331 52 -1
350 276 328 52 -1
351 279 331 52 -1
352 277 329 52 -1
353 273 325 52 -1
354 276 328 52 -1
355 275 326 51 -1
356 281 333 52 -1
357 278 330 52 -1
358 274 325 51 -1
359 280 332 52 -1
360 276 328 52 -1
361 274 326 52 -1
362 275 327 52 -1
363 272 324 52 -1
364 276 328 52 -1
365 272 324 52 -1
366 274 326 52 -1
367 278 330 52 -1
368 281 333 52 -1
369 250 350 100 0
370 250 350 100 0
371 250 350 100 0
372 274 326 52 -1
373 273 325 52 -1
374 279 331 52 -1
375 273 325 52 -1
376 271 323 52 -1
377 279 331 52 -1
378 281 333 52 -1
379 279 331 52 -1
380 278 330 52 -1
381 277 329 52 -1
382 275 327 52 -1
383 280 331 51 -1
384 281 333 52 -1
385 278 330 52 -1
386 280 332 52 -1
387 278 330 52 -1
388 274 326 52 -1
389 274 325 51 -1
390 276 328 52 -1
391 272 324 52 -1
392 281 333 52 -1
393 281 333 52 -1
394 280 332 52 -1
395 280 332 52 -1
396 274 326 52 -1
397 273 325 52 -1
398 274 326 52 -1
399 272 324 52 -1
400 276 328 52 -1
401 274 326 52 -1
402 276 328 52 -1
403 276 328 52 -1
404 277 329 52 -1
405 274 326 52 -1
406 275 327 52 -1
407 275 327 52 -1
408 250 350 100 0
409 250 350 100 0
410 274 326 52 -1
411 281 333 52 -1
412 281 333 52 -1
413 273 325 52 -1
414 271 323 52 -1
415 277 329 52 -1
416 273 325 52 -1
417 274 326 52 -1
418 272 324 52 -1
419 274 326 52 -1
420 274 326 52 -1
421 274 326 52 -1
422 273 325 52 -1
423 276 328 52 -1
424 273 325 52 -1
425 276 328 52 -1
426 280 332 52 -1
427 277 329 52 -1
428 274 326 52 -1
429 272 324 52 -1
430 276 328 52 -1
431 279 330 51 -1
432 277 329 52 -1
433 278 330 52 -1
434 273 325 52 -1
435 272 324 52 -1
436 280 332 52 -1
437 280 332 52 -1
438 279 331 52 -1
439 277 329 52 -1
440 280 332 52 -1
441 276 328 52 -1
442 280 332 52 -1
443 278 330 52 -1
444 277 329 52 -1
445 276 328 52 -1
446 276 328 52 -1
447 250 350 100 0
448 250 350 100 0
449 274 326 52 -1
450 277 329 52 -1
451 280 332 52 -1
452 279 331 52 -1
453 272 324 52 -1
454 281 333 52 -1
455 275 327 52 -1
456 275 326 51 -1
457 273 325 52 -1
458 280 332 52 -1
459 279 331 52 -1
460 275 327 52 -1
461 279 331 52 -1
462 277 329 52 -1
463 279 331 52 -1
464 272 324 52 -1
465 281 333 52 -1
466 274 326 52 -1
467 272 324 52 -1
468 272 324 52 -1
469 272 324 52 -1
470 273 325 52 -1
471 278 330 52 -1
472 272 324 52 -1
473 272 324 52 -1
474 274 326 52 -1
475 280 332 52 -1
476 276 328 52 -1
477 272 324 52 -1
478 274 325 51 -1
479 275 327 52 -1
480 275 327 52 -1
481 275 327 52 -1
482 277 329 52 -1
483 281 333 52 -1
484 281 333 52 -1
485 276 328 52 -1
486 278 330 52 -1
487 250 350 100 0
488 250 350 100 0
489 272 324 52 -1
490 273 325 52 -1
491 281 333 52 -1
492 280 332 52 -1
493 276 328 52 -1
494 277 329 52 -1
495 272 324 52 -1
496 274 326 52 -1
497 274 326 52 -1
498 273 325 52 -1
499 278 330 52 -1
500 273 325 52 -1
501 274 326 52 -1
502 280 332 52 -1
503 276 328 52 -1
504 280 332 52 -1
505 279 331 52 -1
506 272 324 52 -1
507 279 331 52 -1
508 277 329 52 -1
509 273 324 51 -1
510 272 324 52 -1
511 278 329 51 -1
512 276 328 52 -1
513 278 330 52 -1
514 278 330 52 -1
515 281 333 52 -1
516 276 328 52 -1
517 276 328 52 -1
518 271 323 52 -1
519 281 333 52 -1
520 280 332 52 -1
521 274 326 52 -1
522 279 331 52 -1
523 276 327 51 -1
524 277 329 52 -1
525 272 324 52 -1
526 276 328 52 -1
527 272 324 52 -1
528 250 350 100 0
529 250 350 100 0
530 274 325 51 -1
531 274 326 52 -1
532 272 324 52 -1
533 279 331 52 -1
534 273 325 52 -1
535 278 330 52 -1
536 276 328 52 -1
537 272 324 52 -1
538 273 325 52 -1
539 281 333 52 -1
540 271 323 52 -1
541 281 333 52 -1
542 273 325 52 -1
