# /media/filip/Drive/XY/2022oct/cal_m21_015487_2022-10-23.01-53.root
#eventId pulseBegin pulseEnd pulseLength type
1 100 600 500 0
2 100 600 500 0
3 100 600 500 0
4 100 600 500 0
5 100 600 500 0
6 100 600 500 0
7 100 600 500 0
8 100 600 500 0
9 100 600 500 0
10 100 600 500 0
11 100 600 500 0
12 100 600 500 0
13 100 600 500 0
14 100 600 500 0
15 100 600 500 0
16 100 600 500 0
17 100 600 500 0
18 100 600 500 0
19 100 600 500 0
20 100 600 500 0
21 100 600 500 0
22 100 600 500 0
23 100 600 500 0
24 100 600 500 0
25 100 600 500 0
26 100 600 500 0
27 100 600 500 0
28 100 600 500 0
29 100 600 500 0
30 100 600 500 0
31 100 600 500 0
32 100 600 500 0
33 100 600 500 0
34 100 600 500 0
35 100 600 500 0
36 100 600 500 0
37 100 600 500 0
38 100 600 500 0
39 100 600 500 0
40 100 600 500 0
41 100 600 500 0
42 100 600 500 0
43 100 600 500 0
44 100 600 500 0
45 100 600 500 0
46 100 600 500 0
47 100 600 500 0
48 100 600 500 0
49 100 600 500 0
50 100 600 500 0
51 100 600 500 0
52 100 600 500 0
53 100 600 500 0
54 100 600 500 0
55 100 600 500 0
56 100 600 500 0
57 100 600 500 0
58 100 600 500 0
59 100 600 500 0
60 100 600 500 0
61 100 600 500 0
62 100 600 500 0
63 100 600 500 0
64 100 600 500 0
65 100 600 500 0
66 100 600 500 0
67 100 600 500 0
68 100 600 500 0
69 100 600 500 0
70 100 600 500 0
71 100 600 500 0
72 100 600 500 0
73 100 600 500 0
74 100 600 500 0
75 100 600 500 0
76 100 600 500 0
77 100 600 500 0
78 100 600 500 0
79 100 600 500 0
80 100 600 500 0
81 100 600 500 0
82 100 600 500 0
83 100 600 500 0
84 100 600 500 0
85 100 600 500 0
86 100 600 500 0
87 100 600 500 0
88 100 600 500 0
89 100 600 500 0
90 100 600 500 0
91 100 600 500 0
92 100 600 500 0
93 100 600 500 0
94 100 600 500 0
95 100 600 500 0
96 100 600 500 0
97 100 600 500 0
98 100 600 500 0
99 100 600 500 0
100 100 600 500 0
101 100 600 500 0
102 100 600 500 0
103 100 600 500 0
104 100 600 500 0
105 100 600 500 0
106 100 600 500 0
107 100 600 500 0
108 100 600 500 0
109 100 600 500 0
110 100 600 500 0
111 100 600 500 0
112 100 600 500 0
113 100 600 500 0
114 100 600 500 0
115 100 600 500 0
116 100 600 500 0
117 100 600 500 0
118 100 600 500 0
119 100 600 500 0
120 100 600 500 0
121 100 600 500 0
122 100 600 500 0
123 100 600 500 0
124 100 600 500 0
125 100 600 500 0
126 100 600 500 0
127 100 600 500 0
128 100 600 500 0
129 100 600 500 0
130 100 600 500 0
131 100 600 500 0
132 100 600 500 0
133 100 600 500 0
134 100 600 500 0
135 100 600 500 0
136 100 600 500 0
137 100 600 500 0
138 100 600 500 0
139 100 600 500 0
140 100 600 500 0
141 100 600 500 0
142 100 600 500 0
143 100 600 500 0
144 100 600 500 0
145 100 600 500 0
146 100 600 500 0
147 100 600 500 0
148 100 600 500 0
149 100 600 500 0
150 100 600 500 0
151 100 600 500 0
152 100 600 500 0
153 100 600 500 0
154 100 600 500 0
155 100 600 500 0
156 100 600 500 0
157 100 600 500 0
158 100 600 500 0
159 100 600 500 0
160 100 600 500 0
161 100 600 500 0
162 100 600 500 0
163 100 600 500 0
164 100 600 500 0
165 100 600 500 0
166 100 600 500 0
167 100 600 500 0
168 100 600 500 0
169 100 600 500 0
170 100 600 500 0
171 100 600 500 0
172 100 600 500 0
173 100 600 500 0
174 100 600 500 0
175 100 600 500 0
176 100 600 500 0
177 100 600 500 0
178 100 600 500 0
179 100 600 500 0
180 100 600 500 0
181 100 600 500 0
182 100 600 500 0
183 100 600 500 0
184 100 600 500 0
185 100 600 500 0
186 100 600 500 0
187 100 600 500 0
188 100 600 500 0
189 100 600 500 0
190 100 600 500 0
191 100 600 500 0
192 100 600 500 0
193 100 600 500 0
194 100 600 500 0
195 100 600 500 0
196 100 600 500 0
197 100 600 500 0
198 100 600 500 0
199 100 600 500 0
200 100 600 500 0
201 100 600 500 0
202 100 600 500 0
203 100 600 500 0
204 100 600 500 0
205 100 600 500 0
206 100 600 500 0
207 100 600 500 0
208 100 600 500 0
209 100 600 500 0
210 100 600 500 0
211 100 600 500 0
212 100 600 500 0
213 100 600 500 0
214 100 600 500 0
215 100 600 500 0
216 100 600 500 0
217 100 600 500 0
218 100 600 500 0
219 100 600 500 0
220 100 600 500 0
221 100 600 500 0
222 100 600 500 0
223 100 600 500 0
224 100 600 500 0
225 100 600 500 0
226 100 600 500 0
227 100 600 500 0
228 100 600 500 0
229 100 600 500 0
230 100 600 500 0
231 100 600 500 0
232 100 600 500 0
233 100 600 500 0
234 100 600 500 0
235 100 600 500 0
236 100 600 500 0
237 100 600 500 0
238 100 600 500 0
239 100 600 500 0
240 100 600 500 0
241 100 600 500 0
242 100 600 500 0
243 100 600 500 0
244 100 600 500 0
245 100 600 500 0
246 100 600 500 0
247 100 600 500 0
248 100 600 500 0
249 100 600 500 0
250 100 600 500 0
251 100 600 500 0
252 100 600 500 0
253 100 600 500 0
254 100 600 500 0
255 100 600 500 0
256 100 600 500 0
257 100 600 500 0
258 100 600 500 0
259 100 600 500 0
260 100 600 500 0
261 100 600 500 0
262 100 600 500 0
263 100 600 500 0
264 100 600 500 0
265 100 600 500 0
266 100 600 500 0
267 100 600 500 0
268 100 600 500 0
269 100 600 500 0
270 100 600 500 0
271 100 600 500 0
272 100 600 500 0
273 100 600 500 0
274 100 600 500 0
275 100 600 500 0
276 100 600 500 0
277 100 600 500 0
278 100 600 500 0
279 100 600 500 0
280 100 600 500 0
281 100 600 500 0
282 100 600 500 0
283 100 600 500 0
284 100 600 500 0
285 100 600 500 0
286 100 600 500 0
287 100 600 500 0
288 100 600 500 0
289 100 600 500 0
290 100 600 500 0
291 100 600 500 0
292 100 600 500 0
293 100 600 500 0
294 100 600 500 0
295 100 600 500 0
296 100 600 500 0
297 100 600 500 0
298 100 600 500 0
299 100 600 500 0
300 100 600 500 0
301 100 600 500 0
302 100 600 500 0
303 100 600 500 0
304 100 600 500 0
305 100 600 500 0
306 100 600 500 0
307 100 600 500 0
308 100 600 500 0
309 100 600 500 0
310 100 600 500 0
311 100 600 500 0
312 100 600 500 0
313 100 600 500 0
314 100 600 500 0
315 100 600 500 0
316 100 600 500 0
317 100 600 500 0
318 100 600 500 0
319 100 600 500 0
320 100 600 500 0
321 100 600 500 0
322 100 600 500 0
323 100 600 500 0
324 100 600 500 0
325 100 600 500 0
326 100 600 500 0
327 100 600 500 0
328 100 600 500 0
329 100 600 500 0
330 100 600 500 0
331 100 600 500 0
332 100 600 500 0
333 100 600 500 0
334 100 600 500 0
335 100 600 500 0
336 100 600 500 0
337 100 600 500 0
338 100 600 500 0
339 100 600 500 0
340 100 600 500 0
341 100 600 500 0
342 100 600 500 0
343 100 600 500 0
344 100 600 500 0
345 100 600 500 0
346 100 600 500 0
347 100 600 500 0
348 100 600 500 0
349 100 600 500 0
350 100 600 500 0
351 100 600 500 0
352 100 600 500 0
353 100 600 500 0
354 100 600 500 0
355 100 600 500 0
356 100 600 500 0
357 100 600 500 0
358 100 600 500 0
359 100 600 500 0
360 100 600 500 0
361 100 600 500 0
362 100 600 500 0
363 100 600 500 0
364 100 600 500 0
365 100 600 500 0
366 100 600 500 0
367 100 600 500 0
368 100 600 500 0
369 100 600 500 0
370 100 600 500 0
371 100 600 500 0
372 100 600 500 0
373 100 600 500 0
374 100 600 500 0
375 100 600 500 0
376 100 600 500 0
377 100 600 500 0
378 100 600 500 0
379 100 600 500 0
380 100 600 500 0
381 100 600 500 0
382 100 600 500 0
383 100 600 500 0
384 100 600 500 0
385 100 600 500 0
386 100 600 500 0
387 100 600 500 0
388 100 600 500 0
389 100 600 500 0
390 100 600 500 0
391 100 600 500 0
392 100 600 500 0
393 100 600 500 0
394 100 600 500 0
395 100 600 500 0
396 100 600 500 0
397 100 600 500 0
398 100 600 500 0
399 100 600 500 0
400 100 600 500 0
401 100 600 500 0
402 100 600 500 0
403 100 600 500 0
404 100 600 500 0
405 100 600 500 0
406 100 600 500 0
407 100 600 500 0
408 100 600 500 0
409 100 600 500 0
410 100 600 500 0
411 100 600 500 0
412 100 600 500 0
413 100 600 500 0
414 100 600 500 0
415 100 600 500 0
416 100 600 500 0
417 100 600 500 0
418 100 600 500 0
419 100 600 500 0
420 100 600 500 0
421 100 600 500 0
422 100 600 500 0
423 100 600 500 0
424 100 600 500 0
425 100 600 500 0
426 100 600 500 0
427 100 600 500 0
428 100 600 500 0
429 100 600 500 0
430 100 600 500 0
431 100 600 500 0
432 100 600 500 0
433 100 600 500 0
434 100 600 500 0
435 100 600 500 0
436 100 600 500 0
437 100 600 500 0
438 100 600 500 0
439 100 600 500 0
440 100 600 500 0
441 100 600 500 0
442 100 600 500 0
443 100 600 500 0
444 100 600 500 0
445 100 600 500 0
446 100 600 500 0
447 100 600 500 0
448 100 600 500 0
449 100 600 500 0
450 100 600 500 0
451 100 600 500 0
452 100 600 500 0
453 100 600 500 0
454 100 600 500 0
455 100 600 500 0
456 100 600 500 0
457 100 600 500 0
458 100 600 500 0
459 100 600 500 0
460 100 600 500 0
461 100 600 500 0
462 100 600 500 0
463 100 600 500 0
464 100 600 500 0
465 100 600 500 0
466 100 600 500 0
467 100 600 500 0
468 100 600 500 0
469 100 600 500 0
470 100 600 500 0
471 100 600 500 0
472 100 600 500 0
473 100 600 500 0
474 100 600 500 0
475 100 600 500 0
476 100 600 500 0
477 100 600 500 0
478 100 600 500 0
479 100 600 500 0
480 100 600 500 0
481 100 600 500 0
482 100 600 500 0
483 100 600 500 0
484 100 600 500 0
485 100 600 500 0
486 100 600 500 0
487 100 600 500 0
488 100 600 500 0
489 100 600 500 0
490 100 600 500 0
491 100 600 500 0
492 100 600 500 0
493 100 600 500 0
494 100 600 500 0
495 100 600 500 0
496 100 600 500 0
497 100 600 500 0
498 100 600 500 0
499 100 600 500 0
500 100 600 500 0
501 100 600 500 0
502 100 600 500 0
503 100 600 500 0
504 100 600 500 0
505 100 600 500 0
506 100 600 500 0
507 100 600 500 0
508 100 600 500 0
509 100 600 500 0
510 100 600 500 0
511 100 600 500 0
512 100 600 500 0
513 100 600 500 0
514 100 600 500 0
515 100 600 500 0
516 100 600 500 0
517 100 600 500 0
518 100 600 500 0
519 100 600 500 0
520 100 600 500 0
521 100 600 500 0
522 100 600 500 0
523 100 600 500 0
524 100 600 500 0
525 100 600 500 0
526 100 600 500 0
527 100 600 500 0
528 100 600 500 0
529 100 600 500 0
530 100 600 500 0
531 100 600 500 0
532 100 600 500 0
533 100 600 500 0
534 100 600 500 0
535 100 600 500 0
536 100 600 500 0
537 100 600 500 0
538 100 600 500 0
539 100 600 500 0
540 100 600 500 0
541 100 600 500 0
542 100 600 500 0
543 100 600 500 0
544 100 600 500 0
545 100 600 500 0
546 100 600 500 0
547 100 600 500 0
548 100 600 500 0
549 100 600 500 0
550 100 600 500 0
551 100 600 500 0
552 100 600 500 0
553 100 600 500 0
554 100 600 500 0
555 100 600 500 0
556 100 600 500 0
557 100 600 500 0
558 100 600 500 0
559 100 600 500 0
560 100 600 500 0
561 100 600 500 0
562 100 600 500 0
563 100 600 500 0
564 100 600 500 0
565 100 600 500 0
566 100 600 500 0
567 100 600 500 0
568 100 600 500 0
569 100 600 500 0
570 100 600 500 0
571 100 600 500 0
572 100 600 500 0
573 100 600 500 0
574 100 600 500 0
575 100 600 500 0
576 100 600 500 0
577 100 600 500 0
578 100 600 500 0
579 100 600 500 0
580 100 600 500 0
581 100 600 500 0
582 100 600 500 0
583 100 600 500 0
584 100 600 500 0
585 100 600 500 0
586 100 600 500 0
587 100 600 500 0
588 100 600 500 0
589 100 600 500 0
590 100 600 500 0
591 100 600 500 0
592 100 600 500 0
593 100 600 500 0
594 100 600 500 0
595 100 600 500 0
596 100 600 500 0
597 100 600 500 0
598 100 600 500 0
599 100 600 500 0
600 100 600 500 0
601 100 600 500 0
602 100 600 500 0
603 100 600 500 0
604 100 600 500 0
605 100 600 500 0
606 100 600 500 0
607 100 600 500 0
608 100 600 500 0
609 100 600 500 0
610 100 600 500 0
611 100 600 500 0
612 100 600 500 0
613 100 600 500 0
614 100 600 500 0
615 100 600 500 0
616 100 600 500 0
617 100 600 500 0
618 100 600 500 0
619 100 600 500 0
620 100 600 500 0
621 100 600 500 0
622 100 600 500 0
623 100 600 500 0
624 100 600 500 0
625 100 600 500 0
626 100 600 500 0
627 100 600 500 0
628 100 600 500 0
629 100 600 500 0
630 100 600 500 0
631 100 600 500 0
632 100 600 500 0
633 100 600 500 0
634 100 600 500 0
635 100 600 500 0
636 100 600 500 0
637 100 600 500 0
638 100 600 500 0
639 100 600 500 0
640 100 600 500 0
641 100 600 500 0
642 100 600 500 0
643 100 600 500 0
644 100 600 500 0
645 100 600 500 0
646 100 600 500 0
647 100 600 500 0
648 100 600 500 0
649 100 600 500 0
650 100 600 500 0
651 100 600 500 0
652 100 600 500 0
653 100 600 500 0
654 100 600 500 0
655 100 600 500 0
656 100 600 500 0
657 100 600 500 0
658 100 600 500 0
659 100 600 500 0
660 100 600 500 0
661 100 600 500 0
662 100 600 500 0
663 100 600 500 0
664 100 600 500 0
665 100 600 500 0
666 100 600 500 0
667 100 600 500 0
668 100 600 500 0
669 100 600 500 0
670 100 600 500 0
671 100 600 500 0
672 100 600 500 0
673 100 600 500 0
674 100 600 500 0
675 100 600 500 0
676 100 600 500 0
677 100 600 500 0
678 100 600 500 0
679 100 600 500 0
680 100 600 500 0
681 100 600 500 0
682 100 600 500 0
683 100 600 500 0
684 100 600 500 0
685 100 600 500 0
686 100 600 500 0
687 100 600 500 0
688 100 600 500 0
689 100 600 500 0
690 100 600 500 0
691 100 600 500 0
692 100 600 500 0
693 100 600 500 0
694 100 600 500 0
695 100 600 500 0
696 100 600 500 0
697 100 600 500 0
698 100 600 500 0
699 100 600 500 0
700 100 600 500 0
701 100 600 500 0
702 100 600 500 0
703 100 600 500 0
704 100 600 500 0
705 100 600 500 0
706 100 600 500 0
707 100 600 500 0
708 100 600 500 0
709 100 600 500 0
710 100 600 500 0
711 100 600 500 0
712 100 600 500 0
713 100 600 500 0
714 100 600 500 0
715 100 600 500 0
716 100 600 500 0
717 100 600 500 0
718 100 600 500 0
719 100 600 500 0
720 100 600 500 0
721 100 600 500 0
722 100 600 500 0
723 100 600 500 0
724 100 600 500 0
725 100 600 500 0
726 100 600 500 0
727 100 600 500 0
728 100 600 500 0
729 100 600 500 0
