#WindroseDataTable(PercentFrequency)forMalargue(SAMM)
#ObservationsUsed/Missing/Total:23416/15/23431
#03Jan200203:00AM-19Dec202312:28PMAmerica/Argentina/Mendoza
#
#WindSpeedUnits:milesperhour
#Generated11Apr202410:56UTC,contact:akrherz@iastate.edu
#FirstvalueintableisCALM
Direction,Calm,2.04.9,5.06.9,7.09.9,10.014.9,15.019.9,20.0+
355-004,29.69,2.652,1.653,0.581,0.346,0.064,0.013
005-014,,0.000,0.000,0.000,0.000,0.000,0.013
015-024,,1.025,1.217,0.521,0.372,0.021,0.009
025-034,,0.004,0.000,0.000,0.000,0.000,0.000
035-044,,0.009,0.000,0.000,0.000,0.000,0.000
045-054,,4.933,4.514,1.136,0.542,0.056,0.009
055-064,,0.000,0.000,0.004,0.000,0.000,0.000
065-074,,0.380,0.478,0.269,0.081,0.000,0.004
075-084,,0.000,0.000,0.000,0.000,0.000,0.000
085-094,,1.623,1.320,0.286,0.214,0.004,0.021
095-104,,0.000,0.000,0.000,0.004,0.000,0.000
105-114,,0.346,0.470,0.192,0.209,0.047,0.009
115-124,,0.004,0.000,0.000,0.004,0.000,0.004
125-134,,0.000,0.000,0.000,0.000,0.004,0.000
135-144,,1.926,1.666,0.547,0.645,0.158,0.115
145-154,,0.000,0.004,0.000,0.000,0.000,0.000
155-164,,0.214,0.337,0.145,0.167,0.073,0.030
165-174,,0.000,0.000,0.000,0.000,0.004,0.004
175-184,,1.619,1.328,0.453,0.406,0.047,0.060
185-194,,0.000,0.000,0.000,0.000,0.000,0.009
195-204,,0.508,0.611,0.320,0.269,0.154,0.141
205-214,,0.000,0.000,0.000,0.000,0.000,0.000
215-224,,0.000,0.000,0.004,0.000,0.000,0.000
225-234,,4.578,3.596,0.927,1.162,0.628,0.888
235-244,,0.000,0.000,0.000,0.000,0.000,0.009
245-254,,0.547,0.525,0.299,0.547,0.512,0.641
255-264,,0.000,0.004,0.000,0.000,0.000,0.000
265-274,,3.028,1.623,0.760,1.563,0.974,1.358
275-284,,0.000,0.000,0.000,0.000,0.000,0.000
285-294,,0.290,0.307,0.192,0.572,0.666,0.756
295-304,,0.000,0.000,0.000,0.000,0.004,0.004
305-314,,0.000,0.000,0.000,0.000,0.000,0.000
315-324,,1.862,1.072,0.329,0.692,0.406,0.444
325-334,,0.000,0.000,0.000,0.000,0.000,0.000
335-344,,0.252,0.256,0.128,0.175,0.034,0.073
345-354,,0.000,0.000,0.000,0.000,0.000,0.000
