#WindroseDataTable(PercentFrequency)forMalargue(SAMM)
#ObservationsUsed/Missing/Total:143504/780/144284
#31Dec197209:00PM-19Dec202312:28PMAmerica/Argentina/Mendoza
#
#WindSpeedUnits:milesperhour
#Generated05Apr202413:41UTC,contact:akrherz@iastate.edu
#FirstvalueintableisCALM
Direction,Calm,2.04.9,5.06.9,7.09.9,10.014.9,15.019.9,20.0+
355-004,50.17,1.196,0.880,0.236,0.192,0.051,0.042
005-014,,0.006,0.003,0.002,0.003,0.001,0.007
015-024,,1.042,1.033,0.403,0.292,0.080,0.049
025-034,,0.013,0.006,0.001,0.003,0.001,0.001
035-044,,0.010,0.005,0.001,0.000,0.000,0.001
045-054,,4.329,4.071,0.744,0.626,0.102,0.043
055-064,,0.017,0.019,0.005,0.007,0.000,0.001
065-074,,0.505,0.423,0.152,0.079,0.010,0.006
075-084,,0.010,0.006,0.001,0.000,0.000,0.000
085-094,,1.687,1.394,0.207,0.166,0.015,0.016
095-104,,0.000,0.003,0.001,0.008,0.001,0.038
105-114,,0.231,0.282,0.073,0.063,0.018,0.015
115-124,,0.003,0.003,0.001,0.003,0.001,0.003
125-134,,0.005,0.003,0.001,0.002,0.001,0.002
135-144,,0.961,0.969,0.247,0.347,0.110,0.086
145-154,,0.003,0.006,0.001,0.008,0.003,0.001
155-164,,0.199,0.219,0.081,0.080,0.036,0.027
165-174,,0.003,0.003,0.001,0.010,0.006,0.009
175-184,,0.751,0.643,0.173,0.217,0.045,0.052
185-194,,0.001,0.003,0.000,0.001,0.001,0.002
195-204,,0.530,0.353,0.123,0.148,0.075,0.123
205-214,,0.001,0.003,0.002,0.006,0.001,0.003
215-224,,0.006,0.005,0.004,0.015,0.001,0.008
225-234,,1.860,1.646,0.443,0.887,0.568,0.711
235-244,,0.013,0.008,0.004,0.016,0.005,0.015
245-254,,0.420,0.252,0.167,0.322,0.331,0.460
255-264,,0.013,0.010,0.003,0.007,0.006,0.007
265-274,,1.448,1.552,0.742,2.015,1.235,1.850
275-284,,0.001,0.006,0.001,0.005,0.003,0.007
285-294,,0.171,0.152,0.114,0.264,0.334,0.551
295-304,,0.001,0.001,0.001,0.001,0.002,0.010
305-314,,0.001,0.002,0.001,0.001,0.001,0.000
315-324,,0.597,0.601,0.232,0.531,0.300,0.423
325-334,,0.001,0.001,0.000,0.001,0.004,0.002
335-344,,0.268,0.201,0.084,0.112,0.053,0.086
345-354,,0.003,0.003,0.001,0.001,0.001,0.000
